Indicator,1975 2Q,1975 3Q,1975 4Q,1976 1Q,1976 2Q,1976 3Q,1976 4Q,1977 1Q,1977 2Q,1977 3Q,1977 4Q,1978 1Q,1978 2Q,1978 3Q,1978 4Q,1979 1Q,1979 2Q,1979 3Q,1979 4Q,1980 1Q,1980 2Q,1980 3Q,1980 4Q,1981 1Q,1981 2Q,1981 3Q,1981 4Q,1982 1Q,1982 2Q,1982 3Q,1982 4Q,1983 1Q,1983 2Q,1983 3Q,1983 4Q,1984 1Q,1984 2Q,1984 3Q,1984 4Q,1985 1Q,1985 2Q,1985 3Q,1985 4Q,1986 1Q,1986 2Q,1986 3Q,1986 4Q,1987 1Q,1987 2Q,1987 3Q,1987 4Q,1988 1Q,1988 2Q,1988 3Q,1988 4Q,1989 1Q,1989 2Q,1989 3Q,1989 4Q,1990 1Q,1990 2Q,1990 3Q,1990 4Q,1991 1Q,1991 2Q,1991 3Q,1991 4Q,1992 1Q,1992 2Q,1992 3Q,1992 4Q,1993 1Q,1993 2Q,1993 3Q,1993 4Q,1994 1Q,1994 2Q,1994 3Q,1994 4Q,1995 1Q,1995 2Q,1995 3Q,1995 4Q,1996 1Q,1996 2Q,1996 3Q,1996 4Q,1997 1Q,1997 2Q,1997 3Q,1997 4Q,1998 1Q,1998 2Q,1998 3Q,1998 4Q,1999 1Q,1999 2Q,1999 3Q,1999 4Q,2000 1Q,2000 2Q,2000 3Q,2000 4Q,2001 1Q,2001 2Q,2001 3Q,2001 4Q,2002 1Q,2002 2Q,2002 3Q,2002 4Q,2003 1Q,2003 2Q,2003 3Q,2003 4Q,2004 1Q,2004 2Q,2004 3Q,2004 4Q,2005 1Q,2005 2Q,2005 3Q,2005 4Q,2006 1Q,2006 2Q,2006 3Q,2006 4Q,2007 1Q,2007 2Q,2007 3Q,2007 4Q,2008 1Q,2008 2Q,2008 3Q,2008 4Q,2009 1Q,2009 2Q,2009 3Q,2009 4Q,2010 1Q,2010 2Q,2010 3Q,2010 4Q,2011 1Q,2011 2Q,2011 3Q,2011 4Q,2012 1Q,2012 2Q,2012 3Q,2012 4Q,2013 1Q,2013 2Q,2013 3Q,2013 4Q,2014 1Q,2014 2Q,2014 3Q,2014 4Q,2015 1Q,2015 2Q,2015 3Q,2015 4Q,2016 1Q,2016 2Q,2016 3Q,2016 4Q,2017 1Q,2017 2Q,2017 3Q,2017 4Q,2018 1Q,2018 2Q,2018 3Q,2018 4Q,2019 1Q,2019 2Q,2019 3Q,2019 4Q,2020 1Q
Real GDP Growth Rate,0.111234507,0.226614251,0.090409351,-0.077598333,0.078748536,0.219089117,0.078896733,-0.102795584,0.134550922,0.166093468,0.113780135,-0.156027974,0.159958037,0.287110067,0.170591243,-0.176813851,0.211201447,0.172948693,0.246215364,-0.126210624,0.159723782,0.173661177,0.164697695,-0.066722428,0.209727069,0.160919572,0.131991271,-0.10924301,0.135185133,0.121350856,0.102119701,-0.045903959,0.153964418,0.144270381,0.161824408,-0.013847506,0.108551064,0.104290677,0.042866332,-0.086507823,-0.051748355,0.007892452,-0.017431284,-0.096497838,0.121185231,0.12486424,0.130409586,-0.043714548,0.21143653,0.212367962,0.140087448,-0.088744567,0.249319851,0.178609697,0.120815256,-0.116411926,0.3203706,0.116256719,0.102140354,0.040168467,0.093084602,0.120251537,0.070951268,-0.022186582,0.097926354,0.15179263,0.0411543,-0.053069522,0.086123933,0.210540718,0.120742492,-0.043566003,0.226852974,0.175630311,0.177455876,-0.023299611,0.096229658,0.239280789,0.065092742,-0.154246831,0.184992912,0.294543773,0.040951883,-0.020491429,0.062424684,0.082998532,0.10767062,-0.019220294,0.22070443,0.142544993,-0.03857431,-0.208024973,0.042078535,0.025482349,0.064944711,-0.041269485,0.180463644,0.130520097,0.029521299,0.018115784,0.152465646,0.196736456,0.027496661,-0.11930538,-0.05414802,-0.050182604,0.033491805,0.029634957,0.166605701,0.04085419,0.012466661,-0.042610494,-0.019128831,0.293491146,0.156038487,0.007592723,0.096488087,0.076368463,0.131061364,-0.083253298,0.138054277,0.177505612,0.163987055,-0.047352734,0.075792018,0.163451487,0.154842459,-0.039335291,0.135897509,0.203757508,-0.016306527,0.017948354,-0.054931176,0.053513551,-0.141434361,-0.151410521,0.243027666,0.234294078,-0.001405259,0.182569696,0.3592745,-0.074448759,0.11158392,0.025950377,0.069610688,0.108702754,0.008748153,0.011888234,0.12229047,-0.053755108,0.123381251,-0.041483785,0.176332722,0.002143321,0.081314928,-0.071473509,0.13194035,0.014318648,0.119732877,-0.125437107,0.139501475,0.035549519,0.056214821,-0.092791957,0.121913682,0.035816036,0.12625992,-0.094177703,0.081021443,0.108309084,0.097058251,-0.080983178,0.085092297,0.030103588,0.017143928,-0.083763607,0.051277942,0.048328361,0.030942698,
Domestic Wholesale Trade Index_ln1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,66.9,71.7,76.9,65.9,64.3,65.5,70.1,67.3,73.7,78.8,74,68,73.7,72.2,75.2,64.2,66.9,68.1,70.2,68.7,71.1,81,78.9,74.7,68.2,65.1,69.4,66,69.5,75.3,78.3,68.1,70.7,72.9,74.1,74.4,79.1,80.5,86.4,79.7,79.1,81.1,88.3,77.8,83.1,90.5,93.1,85.8,88.8,93.3,97.9,87.4,87.1,91.9,92.7,80.9,89.9,94.8,97.8,89.1,90.9,89.4,94.1,86.7,90.2,91.2,89.2,84.5,89.8,87.4,87.9,88.1,96.4,93.7,93.3,88.9,91.8,95.1,98.6,93.4,99,104,110.9,94.8,99,99.1,103.3,94,104.7,99.6,101.8,97.7,99.1,101.2,105.4,92.1,94.6,95.8,95.7,
Foreign Wholesale Trade Index_ln1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,31.8,35.1,38.3,36.7,35.4,36.9,39.3,39.3,39.7,41.1,41.3,39.6,37.9,38.7,40.1,36.4,36.5,36,39,37.4,40.3,40.5,42.3,40.1,39.1,40.8,40.6,38,39.4,41.9,42.4,42.6,43.3,46.6,48.8,50.4,51.4,53.7,54.6,52.5,55.3,57.4,58.1,53.9,56.3,59.7,61.1,59.1,62.7,64.7,65.8,64,64.1,65.5,61.9,58.6,61.9,62.3,64,64.3,69.7,71.4,72.9,68.1,71.9,75.4,74.7,72.6,80.7,79.4,83.8,83,86.6,85.6,88.6,82.7,88,87.1,91.4,90.1,95.5,96.5,98.2,91.8,95.4,97.9,100.9,95.3,97,101.9,105.8,97.8,101.3,101.4,103.2,93.1,96.7,98.1,104.7,
Unit Labour Cost Of Overall Economy_ln1,,,,,,,,,,,,,,,,,,,,56.7,51.8,53.6,59.9,61.3,55.5,58.4,67,68,63.8,66.7,77.9,77.3,69.6,71.9,77.2,77.1,71,74.6,82.1,77.6,72.3,73.7,81.5,76.3,64.4,64.5,72.2,68.4,63.1,60.9,69.9,68.5,61.2,61.9,76.7,71.7,65.2,68.4,81.7,74.7,70.5,73.8,84.9,80.5,75.8,77.4,90.6,85,79.1,79.6,91.6,85.4,78.7,79.6,92,86.1,80.4,81.1,95,91.3,83.1,82.2,95.9,90.4,85.1,86.8,98.1,92.4,84.6,85.3,100,98.4,90.7,90.8,99.1,91.3,82.8,82.9,96.7,92.4,83.3,84.5,99.2,96.4,88.5,93,98.9,95.1,84.2,86.9,96.6,94.1,86.2,82.4,87.9,88,78.2,79.3,89.2,90.3,79.1,79.3,87.6,89.4,80.3,80.7,90.4,93.9,86.1,84.3,95.9,95.2,86.1,88.7,99.6,103.8,87.7,84.9,94.2,96.3,80.7,86.2,95.7,97.6,86,85.6,95.1,98.6,87.1,89.7,98.3,101,88.5,89.3,99.7,104.3,91.3,92.9,101.5,108.2,93.8,94.2,103.7,110.2,96.2,95.9,102.9,108.5,95.6,94.2,102.9,107.7,94.8,94.9,104.8,110.4,97.9,98.3,107,
Real Value Added Per Worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.9,3.7,5.9,6.2,9.4,7.7,8.4,8.7,5.1,7,4.6,0.9,2.8,3.2,1.5,5,2.3,-2,-0.1,0.2,3.3,4.3,0.5,-4.1,-6.4,-6.7,-2,4.1,6.8,8.2,5.6,5.7,4.3,4.8,4.2,0.1,-4,-7.9,-5.7,-0.2,5.9,8.6,7.4,5,1.3,6.9,10,10.4,11.8,5.8,4.5,1.7,1.9,3.6,4,4.4,2.3,1.6,0.9,0.6,1.6,1.8,-2.6,-1.5,-6.4,-9.1,-11.2,-13,-4,1.6,5.7,13.6,14.5,6.1,9.2,5.6,-0.4,4,1.3,1,2.1,-1.8,0.7,-0.7,0.5,1.9,1,0.3,-0.4,-0.1,0.8,-0.1,0.7,1.8,0.9,1.9,1.4,1.7,3.9,4.3,3.7,5.5,4.6,4.7,4.4,2.1,-0.1,-0.4,-1.2,-0.9,-0.6,
Total Unemployment Rate_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.4,1.6,1.7,1.2,2.4,1.5,1.7,1.4,2.2,1.4,1.9,1.5,2.5,1.2,1.8,1.5,2.4,1.1,1.6,1.2,1.9,1,1.6,1.4,2.5,2.5,3.6,2.6,3.6,2.4,2.6,2.3,4.4,1.6,2.4,1.6,2.7,2.4,3.9,3,4.2,3.1,3.9,3.2,4.5,4.1,4,3.2,4.4,2.6,3.2,2.8,4.2,2.9,2.6,2.2,3.4,2.4,2.6,2.5,2.9,1.5,1.6,1.8,2.8,1.9,2.4,3,4.1,2.9,2.1,2.1,2.8,1.8,2,1.8,2.7,1.8,1.8,1.9,2.6,1.7,1.6,1.8,2.6,1.6,1.6,1.9,2.6,1.7,1.6,1.7,2.6,1.7,1.6,1.8,2.8,1.8,1.9,2.1,2.9,1.9,1.8,1.9,2.7,1.9,1.9,2,3,2,2,2.3
Real Gross Fixed Capital Formation_ln2,2139.7,1992.9,2121.8,2304.5,2247.5,2322.4,1987.2,1987,2211.6,2381,2405.3,2509.6,2429.3,2374.1,2831.7,2319.6,2767.6,3233.3,3184.2,3205.9,3570,3512.9,3593.3,3452,3828.2,4171,4665.1,4751.6,4707.2,5087.2,4960.1,4804.5,5737.6,5528.7,5584.3,5958.3,6005.8,5627.3,6185.4,6052.2,4854.5,5105.5,4977.3,4834.1,4257.2,4808.7,4507.3,4579.8,4334,4720.4,4882,4541.9,4531.4,5326.4,5172.6,5595.9,5119.8,5588,6367.3,6061.1,6015.5,6552.2,6595.2,6794.6,7343.2,7297.9,7141.4,7462,7759.5,7897.1,8875.4,8142.5,8632.1,8833.8,9513.8,9199.7,9173.8,9836.8,10390,9658.7,10104.5,10879.3,12689.6,12735.9,13584.1,12566.9,14894.3,13337.6,13965.1,15746.8,16407.5,15020.6,13820.2,14209.7,13420.7,12819.1,13125.2,14365.4,13618.7,14718.6,13976.9,16323,15065.7,14801,14043.7,14402.5,13708.3,13248.5,13103.9,12674.3,12715,12196.1,11783.6,12455.7,12638.4,13003.9,13513.8,14491,13116.9,13513.4,13147.5,13942.4,15492.3,14427.2,14114.6,15681.3,17166.9,16418.4,16961.7,16885,20643.4,19429.2,20036,19682.1,19387.9,19303.2,21096.8,20668.6,21775.8,21488.5,21736.5,22184.9,23026.9,21310.4,23366.6,25291.9,24097.3,25525.5,24781.6,25461.7,26414.9,26112.5,26262.4,28683,27419.3,27679.7,27583.2,28286.4,29505.8,26934.7,29042.4,29017.8,30276.3,27721.4,30064.2,28549.2,30638.2,28773.1,30711.7,30029.1,32379.6,28774.1,30291.5,28620.1,30049.6,28590.4,30068.4,29343.9,29531.5,
Total Government Debt_ln2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47443.5,48860.1,50020.1,51425.7,54882.8,55761.1,57169.4,59041.1,62031.3,63701.6,66004.1,67252.5,69635.4,70457.3,72316.7,69822,71365.9,72264.6,74071.1,75344.4,79106.1,82029.9,84246.1,86507.6,90584.8,92264.4,92595.7,94830.7,98757.7,99001.4,100455.9,102371.9,106088.3,107620,110313.3,115183.3,119679.3,122529.5,123686.1,125777.1,128498.2,130544,132455.4,134370.4,138869.8,139706.3,142849.2,148999.9,151130.1,150702.2,154938.4,156751.3,161096.7,161869.8,166349.7,169331.9,173110.9,173945.9,182085.9,186598.2,189761.8,195315.4,202633.6,200005.6,202016.2,207714.9,211387,206438.7,211055.7,222813.7,228451.7,234093.2,243920.1,250703.3,248406.9,255464.8,264210.4,275536.4,286014,291501.8,300468.4,306690.1,312000.8,321182.3,331163,342211.4,345973.6,354023.4,367172.5,371325.3,380818,384997.6,396466.3,392595.2,388073.2,390407.1,381141.8,378335.3,384530.6,387250.7,395993.3,407877.6,411197.9,421302.1,435976.3,441278.4,446329.3,463165.6,479226.5,483356.2,496028,502021.9,517091.7,527981.2,535829,546699.5,561629,570683.4,612971.4,641094.3,
Gross External Debt_ln2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854184,856265.3,858357,913613.7,921129.1,924066.1,942763.7,958062.2,978116.4,998052.9,1021682.9,991356.2,1045928.1,1058533.9,1065423.1,1109120.4,1175038.7,1245657.1,1329810.6,1427394.3,1377357.2,1430293.3,1359984.9,1324864.6,1304543.3,1269995.3,1264936.7,1308273.6,1332826.3,1359018.1,1363557,1409657.8,1416976.2,1528617.8,1490737.6,1476893.3,1503888.9,1504075.9,1524667.9,1554561.4,1589994.2,1612479.3,1678111.3,1687233.4,1726152.8,1748558.1,1779546.3,1846688.6,1792234.1,1864880.8,1817155.6,1812617.2,1826898.6,1848416.3,1921764.2,1931440.7,1935954.8,1962844.8,1981759.6,2033373.7,2107227.6,2033449.8,2081813.3,2079749,2116817.7,2146263.2,2123229.9,
Business Expectations Of Manufacturing Sector (Next 6 Months)_1,91,92,91,111,104,93,70,79,76,78,78,95,101,92,79,94,88,83,82,96,82,83,77,83,73,66,46,67,61,51,57,85,95,90,91,99,90,61,48,47,40,34,34,76,76,74,70,88,102,88,72,89,95,75,67,88,80,69,72,84,82,61,47,86,80,60,57,77,81,63,66,77,75,62,77,90,85,72,76,89,78,76,76,80,62,55,70,84,74,78,44,59,35,34,53,71,78,70,73,84,84,81,54,38,35,28,37,89,67,45,45,43,57,79,77,96,81,69,62,70,81,73,72,83,83,79,64,83,79,82,59,50,58,39,0,24,55,66,71,86,75,60,77,69,69,47,46,72,58,46,47,69,65,56,61,64,63,58,54,62,59,41,35,58,56,61,59,64,61,62,58,70,64,56,43,58,46,52,69,1
Business Expectations Of Services Sector (Next 6 Months)_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,75,87,66,59,76,76,65,60,80,74,36,25,36,25,29,41,69,82,82,82,84,84,61,63,39,17,35,55,76,68,52,31,77,86,76,89,89,88,70,77,84,80,76,83,81,82,76,80,86,81,66,61,60,43,5,10,55,75,82,94,91,85,77,75,77,49,33,64,60,59,53,64,67,66,59,63,71,65,54,61,60,52,40,45,52,50,44,57,63,67,61,66,67,61,54,62,60,59,56,0
