Indicator,1995 Jan,1995 Feb,1995 Mar,1995 Apr,1995 May,1995 Jun,1995 Jul,1995 Aug,1995 Sep,1995 Oct,1995 Nov,1995 Dec,1996 Jan,1996 Feb,1996 Mar,1996 Apr,1996 May,1996 Jun,1996 Jul,1996 Aug,1996 Sep,1996 Oct,1996 Nov,1996 Dec,1997 Jan,1997 Feb,1997 Mar,1997 Apr,1997 May,1997 Jun,1997 Jul,1997 Aug,1997 Sep,1997 Oct,1997 Nov,1997 Dec,1998 Jan,1998 Feb,1998 Mar,1998 Apr,1998 May,1998 Jun,1998 Jul,1998 Aug,1998 Sep,1998 Oct,1998 Nov,1998 Dec,1999 Jan,1999 Feb,1999 Mar,1999 Apr,1999 May,1999 Jun,1999 Jul,1999 Aug,1999 Sep,1999 Oct,1999 Nov,1999 Dec,2000 Jan,2000 Feb,2000 Mar,2000 Apr,2000 May,2000 Jun,2000 Jul,2000 Aug,2000 Sep,2000 Oct,2000 Nov,2000 Dec,2001 Jan,2001 Feb,2001 Mar,2001 Apr,2001 May,2001 Jun,2001 Jul,2001 Aug,2001 Sep,2001 Oct,2001 Nov,2001 Dec,2002 Jan,2002 Feb,2002 Mar,2002 Apr,2002 May,2002 Jun,2002 Jul,2002 Aug,2002 Sep,2002 Oct,2002 Nov,2002 Dec,2003 Jan,2003 Feb,2003 Mar,2003 Apr,2003 May,2003 Jun,2003 Jul,2003 Aug,2003 Sep,2003 Oct,2003 Nov,2003 Dec,2004 Jan,2004 Feb,2004 Mar,2004 Apr,2004 May,2004 Jun,2004 Jul,2004 Aug,2004 Sep,2004 Oct,2004 Nov,2004 Dec,2005 Jan,2005 Feb,2005 Mar,2005 Apr,2005 May,2005 Jun,2005 Jul,2005 Aug,2005 Sep,2005 Oct,2005 Nov,2005 Dec,2006 Jan,2006 Feb,2006 Mar,2006 Apr,2006 May,2006 Jun,2006 Jul,2006 Aug,2006 Sep,2006 Oct,2006 Nov,2006 Dec,2007 Jan,2007 Feb,2007 Mar,2007 Apr,2007 May,2007 Jun,2007 Jul,2007 Aug,2007 Sep,2007 Oct,2007 Nov,2007 Dec,2008 Jan,2008 Feb,2008 Mar,2008 Apr,2008 May,2008 Jun,2008 Jul,2008 Aug,2008 Sep,2008 Oct,2008 Nov,2008 Dec,2009 Jan,2009 Feb,2009 Mar,2009 Apr,2009 May,2009 Jun,2009 Jul,2009 Aug,2009 Sep,2009 Oct,2009 Nov,2009 Dec,2010 Jan,2010 Feb,2010 Mar,2010 Apr,2010 May,2010 Jun,2010 Jul,2010 Aug,2010 Sep,2010 Oct,2010 Nov,2010 Dec,2011 Jan,2011 Feb,2011 Mar,2011 Apr,2011 May,2011 Jun,2011 Jul,2011 Aug,2011 Sep,2011 Oct,2011 Nov,2011 Dec,2012 Jan,2012 Feb,2012 Mar,2012 Apr,2012 May,2012 Jun,2012 Jul,2012 Aug,2012 Sep,2012 Oct,2012 Nov,2012 Dec,2013 Jan,2013 Feb,2013 Mar,2013 Apr,2013 May,2013 Jun,2013 Jul,2013 Aug,2013 Sep,2013 Oct,2013 Nov,2013 Dec,2014 Jan,2014 Feb,2014 Mar,2014 Apr,2014 May,2014 Jun,2014 Jul,2014 Aug,2014 Sep,2014 Oct,2014 Nov,2014 Dec,2015 Jan,2015 Feb,2015 Mar,2015 Apr,2015 May,2015 Jun,2015 Jul,2015 Aug,2015 Sep,2015 Oct,2015 Nov,2015 Dec,2016 Jan,2016 Feb,2016 Mar,2016 Apr,2016 May,2016 Jun,2016 Jul,2016 Aug,2016 Sep,2016 Oct,2016 Nov,2016 Dec,2017 Jan,2017 Feb,2017 Mar,2017 Apr,2017 May,2017 Jun,2017 Jul,2017 Aug,2017 Sep,2017 Oct,2017 Nov,2017 Dec,2018 Jan,2018 Feb,2018 Mar,2018 Apr,2018 May,2018 Jun,2018 Jul,2018 Aug,2018 Sep,2018 Oct,2018 Nov,2018 Dec,2019 Jan,2019 Feb,2019 Mar,2019 Apr,2019 May,2019 Jun,2019 Jul,2019 Aug,2019 Sep,2019 Oct,2019 Nov,2019 Dec,2020 Jan,2020 Feb,2020 Mar
Total Merchandise Exports_ln2,12311698,11560924,14104207,12650418,13777818,14373998,14092603,14921935,14877990,14980902,15503060,14359141,15304338,12362257,15658331,14613388,14816176,13977050,15040339,14252549,14663818,15689795,14812547,15081350,15062352,11582486,15475126,15521271,15389819,15075533,15912565,14933191,16936891,16899731,16041995,16781544,14494973,14763660,16952640,15156585,14305933,15919597,15633171,15290256,16344414,15348390,14509326,15044378,13315576,12496922,16250359,15909114,15465904,16366907,16153014,15957530,17625416,17783665,17957284,19007924,15628098,16200493,19842497,17461126,19738164,19458200,20321223,21962554,21590916,22863664,21961829,20797582,18626667,18092493,20431794,18056811,18700517,18461988,17462519,17673383,16797935,18935541,18057067,16729548,17908294,14710314,18447696,19538466,18757283,18600298,19960987,19562983,18857072,20410619,20429746,18663757,23447601,19831071,23418350,22747877,22026559,22304369,23527960,22765100,25186305,25982255,23724843,26185024,23603218,24128127,27854957,26802507,27292036,28647333,29140380,29176182,31152615,30325197,28384129,30269392,27543861,25507262,31463425,29900198,30570564,31155372,31706705,34304221,34073829,35802282,34576557,37079003,32617981,33003078,37718897,33659297,35996421,37974531,36213556,38055717,38632796,37008885,37337369,35837917,37598082,30938211,38614025,36442327,36405981,38400858,39517632,39110149,39118022,41079240,39009550,37852753,42682417,36428265,40431403,42515891,40940336,42500904,45379085,42473576,43655958,39502257,34292711,30052576,26463376,27677912,31798409,31378096,30119931,32152964,35293204,34146163,35213854,35846049,35692666,37143715,36391172,32951382,41005505,40644667,38693721,41020375,41170201,42941604,41615386,42651466,39772855,41851138,43766735,36963226,46700562,42763382,42640217,43871813,42644188,45126888,45395626,44554630,43199909,45643446,41834582,45664111,46121631,44829816,44546230,43409919,42514918,41848307,41848907,44485232,42485012,39765478,41978071,37560458,42285166,45691253,45728321,43436371,46363855,43843516,45161084,47916281,43029311,42513470,44966281,41135162,45280758,46201066,43741676,43604893,43601754,43395650,45258026,45076081,41651672,42154405,42679649,34745340,46341479,42126061,39419524,41324718,42883682,38499547,40566767,43473113,39152052,40604216,36374220,32392691,38819978,38777004,38907678,39303025,38163143,38628013,39689453,39645848,41889050,44321513,40395481,39340293,46072685,40431020,43945230,42324249,42629367,44464801,41178777,43739574,45886157,44593215,44126494,38936317,45602187,44492111,48359712,45693748,48306776,50448644,45850324,51656381,48699986,43492397,44530898,39862596,44232102,44138798,46631547,41424050,45390949,45157925,43494319,46828474,45758743,45063716,42141764,40826997,43953513
Total Merchandise Imports_ln2,12244388,12396938,14664247,13734522,14922431,14718979,15532592,15730943,14787061,16058779,15691830,15830769,15539334,14200033,16418429,15494903,15245465,15175694,15785983,14383157,14761789,16335831,15880423,15962353,15788033,12634879,16729284,15832563,16289060,15923211,17547537,16546053,17412112,17623903,16775834,17502726,13830548,14766759,16061183,13958753,12963883,14468063,14735024,14005064,14058809,13587125,13093541,14334730,12992380,11997660,15235020,15254783,15009917,15738641,16699646,16507617,16444304,16958676,17374626,17928291,15863851,15557241,18704237,17564650,18669571,20281078,19865437,20917474,21325111,21400038,21041672,20984719,17612616,17952511,19116724,17491623,17125687,17509415,17417877,17270265,16029478,18073404,16568462,15524076,15909729,14816724,17547760,18179783,17487220,18290300,18668721,18224600,17047877,18915666,17690794,17021067,18539098,17162800,20441818,19325007,18135977,19773576,19832506,19534347,20630297,22247169,20077600,22369973,21035150,20335381,25214316,24103838,24467390,24845482,26647804,25375603,25520660,26438682,24894387,25299368,24945420,21400853,28178684,26658197,26203333,28003355,27943026,29639219,29312727,32075302,29184752,30768661,27375920,29937624,31515804,29327041,32627841,33778399,33155215,34163426,32818225,31068778,31957329,33117053,30763489,27851480,32640492,31945246,32340922,34076139,34151496,33723677,32811183,37110162,36053976,34935734,38681524,33413957,38648064,40555557,38619579,40693260,43365604,38926024,41584525,38957660,32855642,29158912,25726467,26488010,27730194,27868130,27818221,29799099,31670300,30161686,33242874,32568130,31415491,33885826,33290120,30904685,36362935,36719932,33511638,37674529,38506428,36208637,35562647,35674370,35795622,36115015,37583825,32126643,43060778,38518652,39756662,39185518,37264457,42209188,38911564,39592049,41868766,38210081,40266013,40218167,43698690,39686751,42810254,41641022,38990798,38629287,37875867,41031806,40081332,37259840,40563794,35355063,38088858,42058336,41984109,39241029,43645756,40477278,41616787,44871411,38981788,38686538,41143329,37214009,43813748,42799285,41829362,38216943,40809150,36885234,40573602,41160397,35762528,38374997,35221197,29731205,38824707,36970386,33572417,36614847,37430942,35260544,35278954,35998057,33630636,34868755,30382944,30949946,33661999,32237957,32922385,34067889,31906437,33527949,32761041,33929792,37482999,39473257,36734901,33032643,39987555,34542072,39149517,36416610,36874744,38702897,35732238,39347126,41476983,40104280,38491510,34609596,39745452,38382736,42887787,41054575,44972517,43802120,41439605,47127052,45114564,42566514,41553606,36074448,40340098,41294888,42637579,38979868,42030046,40998179,39450625,42282537,42489886,41580603,41180559,39473778,40442559
Retail Sales Index_ln1,57.521,38.141,46.821,42.098,44.176,43.085,45.037,45,46.408,45.172,47.094,52.429,52.51,48.954,45.154,43.457,44.629,44.888,46.73,44.138,45.921,46.364,48.354,58.031,60.761,39.304,46.806,44.748,45.558,47.322,51.56,45.985,47.807,44.729,44.748,49.37,56.664,38.227,37.681,47.893,43.394,44.301,45.982,41.789,40.628,40.794,44.329,53.154,51.133,43.069,46.171,46.762,48.61,53.783,51.869,53.536,55.557,53.853,55.296,62.054,73.225,47.765,59.466,60.2,62.506,68.719,68.589,63.28,66.551,60.321,69.813,78.79,83.053,61.989,75.694,67.868,70.572,70.109,67.945,70.93,63.348,63.549,69.385,79.106,78.065,61.012,74.712,66.003,63.758,66.585,71.754,66.182,64.059,65.569,71.139,86.266,86.539,56.381,70.518,67.49,75.657,73.243,78.781,71.038,74.597,76.821,80.131,96.649,94.134,82.387,88.365,78.423,81.983,86.342,85.656,79.1,81.312,87.076,88.804,97.82,106.07,79.315,97.026,88.554,89.387,94.053,94.825,87.719,90.349,97.175,91.037,108.596,112.054,80.654,105.692,93.799,101.554,100.587,99.183,91.878,96.382,101.342,102.14,116.968,116.008,98.653,105.203,98.624,105.145,116.154,96.574,95.885,100.621,102.714,97.699,114.901,118.844,93.447,104.677,100.536,104.724,105.609,102.325,95.764,103.319,94.323,92.42,111.567,101.766,85.741,95.717,87.166,91.604,94.662,91.372,89.918,89.021,90.045,90.171,106.067,104.603,90.88,91.835,83.795,85.951,86.926,88.914,89.502,90.459,88.471,90.251,109.389,104.715,77.858,90.304,88.784,92.447,94.531,96.415,90.147,87.096,93.742,93.247,112.921,105.613,88.174,96.056,90.549,93.061,94.566,93,92.523,89.452,92.983,93.509,110.131,101.527,89.129,91.732,90.642,95.868,93.163,90.151,89.835,87.742,88.392,89.21,108.481,106.592,81.842,92.009,84.954,90.959,90.559,90.649,90.6,89.287,94.01,92.85,110.825,102.651,94.118,94.792,90.384,96.965,97.703,96.168,97.666,93.028,97.136,97.431,113.691,109.134,90.829,98.323,91.781,98.852,97.768,98.081,96.477,93.861,98.048,97.154,113.559,112.316,88.618,100.914,92.281,99.209,99.224,98.807,98.851,92.407,96.917,101.14,119.317,102.671,95.594,98.787,93.076,98.697,100.425,95.724,97.714,94.169,97.567,100.098,112.753,110.064,86.058,98.08,91.262,96.466,91.088,94.109,93.497,91.402,92.827,94.3,107.779,103.985,77.619,
Index Of Industrial Production_ln1,27.068,25.899,34.597,27.846,28.949,31.545,31.352,35.116,35.7,32.649,33.104,33.818,33.623,27.522,38.166,31.156,31.675,31.092,32.065,32.649,33.363,33.493,31.741,33.689,31.805,26.549,35.766,31.871,31.741,34.532,34.792,34.921,38.166,36.089,34.467,37.063,30.053,30.962,39.27,32.844,30.702,34.467,32.844,32.649,37.907,33.233,33.299,38.166,33.039,32.13,41.932,34.727,36.544,41.348,38.751,38.945,43.359,41.282,39.854,40.958,42.451,35.246,43.489,38.037,43.879,46.085,43.036,46.865,49.656,49.072,46.865,49.201,37.972,40.049,46.475,38.426,39.465,38.622,37.128,36.934,38.622,38.945,40.763,38.426,39.011,35.246,44.593,41.607,44.852,45.762,44.139,43.099,43.165,43.749,40.309,46.021,44.333,34.532,47.319,39.984,40.958,42.97,41.348,47.773,45.696,52.057,43.619,46.345,47.189,44.333,47.579,48.617,49.007,51.149,48.812,49.72,51.343,52.706,48.228,61.274,52.252,39.595,51.798,50.565,49.916,56.926,51.798,55.628,62.768,62.702,58.418,64.649,52.252,53.68,64.26,51.538,54.979,69.648,62.119,58.613,66.856,64.975,68.025,68.349,60.366,56.536,64.26,62.897,64.13,62.248,77.567,67.246,64.845,67.181,66.077,65.623,65.364,62.312,75.684,59.586,55.498,63.676,60.561,59.197,66.986,59.002,61.664,56.86,48.552,55.172,51.278,60.041,58.224,59.457,71.466,66.597,62.702,60.561,55.757,65.558,68.479,66.013,78.15,89.51,92.366,76.333,78.086,71.206,78.995,78.476,78.735,71.336,86.03,73.299,93.871,83.284,78.575,86.545,82.331,81.37,84.931,83.66,76.923,89.302,77.464,82.255,90.683,81.674,83.622,93.232,84.123,79.059,81.867,79.517,79.075,90.74,77.583,69.502,87.429,85.877,85.784,88.892,86.583,81.85,89.432,86.17,84.445,96.532,80.329,78.601,98.085,90.441,84.142,89.546,88.873,84.98,88.396,86.446,82.818,94.793,82.046,76.028,87.878,82.561,83.113,87.148,83.485,80.99,82.831,83.622,80.514,83.524,83.053,73.476,88.517,85.265,83.451,88.094,80.731,81.796,89.338,84.633,89.914,102.247,86.381,80.913,98.422,90.954,87.595,100.241,99.537,98.575,102.393,97.569,95.387,99.786,102.219,85.148,104.974,100.846,98.989,108.473,106.179,101.853,102.885,102.642,101.901,101.612,106.9,88.563,96.823,105.106,96.606,105.115,111.195,94.435,101.416,106.669,89.358,97.815,110.843,87.905,112.811
Consumer Price Index (CPI),0.2,0.1,-0.3,0.5,0.4,0.1,-0.2,0,0,0.1,0.2,-0.4,0.3,0.8,-0.4,0.1,0.5,0.1,0,0.1,0,0,0.2,0.2,0.2,0.5,-0.5,0.5,0.2,0.2,0.4,0.3,0.2,0,0.1,-0.1,-0.3,-0.1,-0.5,0.1,-0.2,-0.1,0.1,-0.1,-0.1,-0.2,0.2,-0.2,0.2,0.1,-0.3,0.3,0.2,-0.1,0.1,0.1,0,-0.1,0.1,0.1,0.4,0.5,-0.3,0.1,-0.4,0.2,0.5,0.5,0,0.1,0.2,0.2,0.4,-0.2,0.2,0.3,-0.4,-0.5,0.6,-0.1,-0.1,-0.3,-0.2,-0.2,-0.1,0.3,-0.1,0.1,0.3,-0.1,0,-0.1,-0.1,0,0.2,0,0.3,-0.2,0.3,0.2,-0.6,-0.3,0.6,0.1,0.1,-0.1,0.1,0.2,0.2,1.2,-0.7,0.7,0.2,-0.8,0.8,-0.1,0.2,0,0,-0.3,-0.7,0.7,-0.3,0.6,-0.2,-0.9,1,0.5,0.1,0.4,-0.1,0,-0.2,0.2,-0.3,0.5,-0.2,-0.6,0.8,0.1,-0.1,0.4,0,0.3,-1.6,0.7,-0.1,0.8,0.7,-0.2,2,0.5,-0.5,1.4,0.8,-0.7,1.1,0.7,0.1,1.6,0.6,-0.2,1.1,0.4,-0.2,1.1,-0.1,-0.9,0,-0.3,-0.6,-0.6,0.5,-0.4,0.9,0.4,-0.4,0.6,0.1,-0.6,0.7,0.4,0.1,0.9,0.6,-1,1.3,0.5,0.1,0.4,0.3,0.2,1.6,-0.1,0.1,0.3,0.6,-0.2,1.5,0.7,-0.2,0.4,0.6,0,0.9,-0.3,0.8,0.5,0.2,0,0.2,0.6,0.6,-0.2,0.1,0.7,0.2,1,-0.5,-1.5,0.4,0.2,0.3,0.8,0.1,0.2,0.7,-0.3,0.1,0,0.3,-0.4,0.3,-0.2,-0.3,0.5,-0.2,-0.3,0.2,-0.1,-0.2,0.1,0.2,-0.6,0.5,-0.1,-0.4,0.1,0,-0.4,0.2,0,-0.2,-0.1,0,-0.1,-0.7,0.7,-0.3,0.5,0,-0.3,0.3,0.2,0.2,0,0,-0.3,0.3,-0.1,-0.2,0.3,0,-0.3,0.6,-0.1,-0.2,0.5,-0.2,-0.5,0.6,0.1,-0.1,0.4,0,-0.3,0.2,0.1,-0.3,0.6,0,-0.2,0.6,-0.3,-0.5,0.6,-0.1,-0.2,0.3,0.2,-0.2,0.1,-0.3
Export Price Index_ln2,150.342,149.563,148.269,147.518,147.152,146.96,145.96,145.475,146.151,145.769,145.71,146.226,144.975,143.96,142.914,142.343,141.621,140.739,139.81,138.547,139.09,139.238,136.752,137.31,133.957,133.515,133.765,132.458,130.912,129.957,129.354,130.957,131.957,133.721,135.37,136.252,138.077,135.251,130.927,129.28,129.883,130.5,131.5,132.62,132.163,129.5,127.824,127.117,128.221,129.015,129.383,130.854,130.573,130.383,131.441,133.029,135.561,135.222,135.516,135.795,135.572,137.382,138.917,137.62,139.133,139.617,141.181,141.515,143.252,143.756,140.533,137.627,135.655,135.612,135.93,136.614,136.158,134.266,130.114,128.666,129.125,127.014,124.229,124.382,123.554,124.015,125.928,125.011,123.569,121.766,119.777,119.676,120.044,121.268,118.971,119.708,119.428,121.071,120.274,118.733,116.571,116.691,116.923,116.922,116.061,115.533,116.097,116.24,117.023,116.733,116.807,116.327,118.79,118.28,118.481,120.047,118.958,119.728,117.186,114.962,114.1,115.179,117.897,120.219,118.191,120.11,121.557,122.154,124.785,124.726,122.182,121.452,125.624,125.964,123.689,124.285,123.407,124.157,124.192,123.4,122.383,119.972,118.035,117.514,116.64,117.073,117.238,117.941,117.886,118.877,118.699,118.14,118.816,117.672,119.806,119.886,118.6,117.907,119.492,120.05,123.259,125.617,127.07,124.231,122.675,116.844,112.164,108.938,107.851,108.322,108.174,108.615,107.609,110.387,110.001,111.82,110.711,110.371,110.825,110.851,111.661,112.503,112.616,112.939,112.41,111.883,110.614,110.232,109.124,108.696,109.787,110.899,111.96,113.635,115.333,116.138,113.871,113.237,112.085,110.567,112.723,114.589,115.39,115.13,116.675,115.423,116.293,116.162,114.019,111.414,110.668,111.88,111.359,109.676,108.52,108.015,108.931,110.82,110.073,108.234,108.055,109.81,110.578,110.566,110.186,108.581,108.328,109.147,109.31,109.244,108.974,108.142,107.681,107.905,107.044,106.78,106.818,105.036,104.804,101.248,98.359,101.095,101.459,100.215,100.708,101.03,100.064,99.9,99.264,98.409,97.857,95.91,94.393,92.952,92.713,91.869,94.246,93.612,92.548,92.086,93.4,95.764,96.696,99.807,99.954,98.971,97.374,97.178,96.76,94.95,94.926,95.01,95.672,96.841,97.464,97.375,96.935,96.54,96.327,97.285,100.076,100.83,101.857,102.1,103.547,104.561,101.81,98.132,97.699,98.906,99.246,100.021,99.974,98.13,99.298,99.775,99.97,97.888,96.057,96.195,96.11,96.186,92.883
Import Price Index_ln2,109.666,109.698,109.32,109.416,109.124,108.701,107.576,107.414,107.728,106.517,106.494,106.776,106.602,105.879,104.991,104.288,104.201,103.378,102.459,102.666,103.162,103.378,103.389,102.957,101.982,100.921,100.556,99.603,99.138,98.422,97.904,99.288,100.717,101.181,102.524,103,102.666,101.767,99.342,98.488,99.332,99.613,98.898,99.808,100.522,99.311,97.999,97.169,97.58,97.753,98.553,100.197,100.771,100.122,100.402,101.181,103.108,104.299,104.776,105.5,107.919,108.867,110.106,109.33,109.993,110.923,110.964,110.151,111.863,112.42,111.256,109.123,108.917,109.141,109.547,110.701,111.352,110.772,109.94,108.607,108.303,107.997,107.396,106.559,105.873,106.038,107.014,107.713,107.791,106.666,106.382,106.486,106.949,107.501,106.203,106.509,106.896,108.658,109.307,107.686,106.48,106.349,106.485,107.075,106.029,106.447,106.634,106.714,107.166,106.525,107.255,107.334,109.276,109.383,109.714,110.94,109.733,111.006,109.575,108.42,108.673,109.009,111.71,113.299,112.762,115.004,116.233,116.867,118.635,118.296,116.807,116.422,118.284,117.987,117.851,119.034,118.854,119.954,120.133,119.975,117.46,115.428,113.986,114.071,111.919,112.73,113.718,114.285,115.043,115.893,115.974,116.228,117.241,116.62,118.351,118.62,117.941,117.745,118.558,119.011,122.255,125.51,127.315,125.695,122.615,116.36,109.773,105.926,106.756,107.49,108.237,108.002,108.046,110.901,110.111,111.894,110.116,110.207,111.336,110.658,111.279,110.993,111.046,111.767,110.37,110.147,109.515,109.229,108.544,109.074,109.804,111.64,113.03,115.507,116.868,117.22,115.186,114.715,114.173,112.928,114.982,116.9,118.027,117.488,119.541,119.143,120.297,118.881,115.844,112.614,112.69,114.562,114.784,112.785,111.059,110.737,112.396,114.047,112.747,110.474,110.366,111.555,111.967,112.857,112.529,111.262,111.437,112.705,112.697,112.833,112.215,111.274,111.202,111.304,110.605,109.509,108.615,105.297,102.88,97.911,93.106,97.436,97.412,97.377,98.894,98.359,95.666,93.905,93.877,93.516,92.387,89.368,87.656,86.726,87.45,87.48,89.907,90.339,89.151,89.053,90.001,92.497,93.243,97.249,97.604,97.019,94.965,95.825,94.921,93.205,92.853,93.49,94.449,95.638,97.063,96.857,95.877,95.133,95.075,96.481,99.972,100.708,102.221,102.99,104.267,105.608,102.606,99.062,97.704,98.759,99.979,100.781,101.016,99.208,99.637,98.975,99.123,98.442,97.36,96.613,97.011,97.151,91.712
Singapore Manufactured Products Price Index_ln2,134.912,135.269,134.753,132.544,131.934,132.053,131.247,130.755,130.954,131.008,131.047,131.683,131.523,130.372,128.785,128.241,127.102,126.402,122.724,122.67,122.299,121.492,121.624,122.259,118.435,117.23,117.098,115.709,114.61,113.855,112.307,113.233,113.829,114.861,115.787,115.934,115.934,114.015,110.468,110.72,110.733,110.256,110.52,110.653,109.131,108.708,107.331,105.994,105.862,106.828,106.378,109.092,109.065,109.421,109.661,110.917,112.122,113.114,112.678,113.114,112.543,113.725,116.624,116.693,115.119,115.743,118.188,117.125,120.006,120.313,121.032,118.072,117.292,117.083,117.187,118.359,118.625,118.178,117.084,116.277,114.23,113.928,111.45,111.199,108.607,108.564,109.674,110.475,109.408,108.059,106.109,106.016,107.437,106.098,107.466,106.8,106.918,109.028,110.161,108.808,105.874,106.184,105.979,106.842,106.028,105.307,106.689,107.011,107.984,109.29,109.306,108.179,110.35,110.693,111.45,114.375,115.557,116.777,116.282,113.293,111.725,112.898,116.98,118.975,117.336,118.03,119.132,120.597,123.476,122.208,119.314,119.076,122.259,121.361,121.341,122.541,122.289,123.904,124.511,123.833,120.97,118.29,116.235,115.686,113.998,115.275,116.747,118.1,119.519,120.204,119.964,119.168,120.131,120.422,123.478,123.571,122.406,122.561,124.113,125.754,131.169,135.277,134.72,130.411,126.915,117.189,107.2,101.952,102.975,102.936,103.079,104.931,105.669,108.576,107.577,110.252,108.4,107.908,109.365,109.04,109.977,109.756,110.327,112.095,110.095,108.559,106.604,106.563,105.636,106.49,107.149,109.79,110.521,113.836,116.53,118.334,114.643,113.419,113.1,111.922,113.313,115.836,115.575,115.543,118.632,119.093,120.281,118.448,115.828,113.275,112.996,113.67,112.872,111.475,110.408,110.461,111.215,112.937,111.897,109.269,109.732,110.677,111.644,112.323,111.833,111.749,110.92,110.908,111.259,112.254,110.456,109.373,109.061,108.324,106.987,106.873,106.01,105.087,103.781,100.106,96.58,99.138,100.33,100.561,99.901,99.34,98.339,96.469,96.711,95.896,95.715,92.411,90.339,90.927,93.601,89.785,94.62,91.536,89.303,89.311,93.009,93.297,93.574,97.619,98.408,97.916,97.222,96.568,95.086,93.8,92.766,93.738,95.154,95.249,96.299,97.068,98.864,97.703,96.939,98.214,101.518,101.294,102.598,102.221,102.574,101.971,99.323,96.781,95.695,96.633,98.062,96.608,97.32,95.474,96.142,98.008,97.956,96.853,95.798,95.608,94.668,94.58,92.587
